segment,actual_volume_quartile,skus,actual_units,forecast_units,absolute_error,signed_error,bias_pct
cold_start,Q1,10,71.0,99.79179934593964,96.48952973543668,28.791799345939644,40.55183006470372
cold_start,Q2,10,139.0,125.32855295166956,127.39979489622158,-13.671447048330437,-9.835573416065063
cold_start,Q3,10,218.0,121.4099080450249,176.49553307480465,-96.5900919549751,-44.30738163072252
cold_start,Q4,10,347.0,124.2586216420381,300.48769906945654,-222.7413783579619,-64.1905989504213
developing,Q1,7,7.0,119.63794000778594,112.63794000778594,112.63794000778594,1609.1134286826564
developing,Q2,6,56.0,75.73585159247264,63.83288748483954,19.735851592472642,35.24259212941543
developing,Q3,6,169.0,94.91069601213013,101.69838217778141,-74.08930398786987,-43.839824844893414
developing,Q4,7,403.0,152.22051390262328,259.6184469414009,-250.77948609737672,-62.22816032192971
new,Q1,10,107.0,182.7094662268093,142.74636144423664,75.7094662268093,70.75651049234514
new,Q2,10,229.0,116.88584259849209,151.62374113713517,-112.11415740150791,-48.95814733690302
new,Q3,9,312.0,130.71357575201128,214.4856774741541,-181.28642424798872,-58.104623156406646
new,Q4,10,526.0,189.1780755023744,425.8712352075038,-336.82192449762556,-64.03458640639269
occasional,Q1,29,16.0,146.87973936402346,150.87973936402346,130.87973936402346,817.9983710251466
occasional,Q2,29,60.0,136.0811992976508,161.87753880952215,76.08119929765081,126.80199882941801
occasional,Q3,29,152.0,122.52026371454836,195.87465363987744,-29.479736285451636,-19.394563345691864
occasional,Q4,29,449.0,124.5838370772229,478.9106674515643,-324.4161629227771,-72.25304296721094
rare,Q1,14,0.0,36.090001977987995,36.090001977987995,36.090001977987995,
rare,Q2,14,5.0,38.14035698081496,40.162062612047684,33.14035698081496,662.8071396162992
rare,Q3,14,23.0,25.21617352045779,35.57681695093308,2.2161735204577884,9.635537045468645
rare,Q4,14,134.0,24.188954693514326,125.67713904954923,-109.81104530648568,-81.94854127349679
recurring,Q1,90,311.0,587.076423704127,522.4931811265974,276.076423704127,88.7705542457
recurring,Q2,90,707.0,762.498316748804,526.3557044119178,55.49831674880395,7.849832637737476
recurring,Q3,90,1132.0,843.9287943570675,790.1130828417092,-288.07120564293245,-25.44798636421665
recurring,Q4,90,3350.0,1268.5607446205765,2503.4962229736043,-2081.4392553794232,-62.13251508595293
