recommended_model_key,recommended_model,recommendation_quality,sku_count,actual_total,forecast_total,absolute_error,median_recommended_rolling_wmape,portfolio_horizon_wmape_percent
direct_extra_trees_log1p,Direct Extra Trees log1p,under_200,259,39587.0,48511.23259000842,50401.24288262405,130.1324485644335,127.3176620674061
direct_tweedie_glm,Direct Tweedie GLM,under_200,102,7628.0,1.9103405479333214e+76,1.9103405479333214e+76,117.61004892385672,2.5043793234574216e+74
direct_xgboost_tweedie,Direct XGBoost Tweedie,under_200,73,5146.0,4442.898579420561,6903.47768912556,109.53417403787607,134.1523064346203
direct_random_forest_log1p,Direct Random Forest log1p,under_200,59,6870.0,6555.291385997674,9309.54197228186,117.67736326782078,135.5100723767374
hurdle_xgboost_tweedie,Hurdle XGBoost Tweedie,under_200,42,2216.0,1252.199478330283,2877.35958532764,101.02333138365228,129.84474663030866
direct_hist_poisson,Direct Hist Gradient Poisson,under_200,28,1618.0,1272.9983182528981,2332.8470032467435,107.99333948695983,144.1809025492425
direct_extra_trees_log1p,Direct Extra Trees log1p,under_100,26,6513.0,4903.1249177802165,5734.458631147671,91.41592131547935,88.04634778362768
direct_extra_trees_log1p,Direct Extra Trees log1p,over_200,19,2519.0,6193.548927284577,4884.934676788919,212.83859985013103,193.923567955098
direct_xgboost_tweedie,Direct XGBoost Tweedie,under_100,18,2756.0,1561.088571058398,2451.8839572957386,93.32117712252824,88.96531049694262
direct_hist_squared,Direct Hist Gradient Squared,under_100,17,2195.0,1030.7008207357258,1944.5870632882484,90.32997557184127,88.59166575345095
hurdle_xgboost_tweedie,Hurdle XGBoost Tweedie,under_100,11,1653.0,853.0102264038932,1436.171360476337,90.33010543485493,86.8827199320228
direct_hist_squared,Direct Hist Gradient Squared,under_200,11,990.0,728.7231448980759,1165.8565202544833,108.21424520086246,117.76328487419023
direct_random_forest_log1p,Direct Random Forest log1p,under_100,8,1534.0,1110.3973839975833,1217.616103228422,88.08432810634497,79.37523489103143
direct_random_forest_log1p,Direct Random Forest log1p,over_200,4,1873.0,3635.2250484356255,2934.989874663385,281.9653812312899,156.69993991795968
direct_tweedie_glm,Direct Tweedie GLM,under_100,4,1069.0,852.7575155051073,922.8656675142109,93.38894687684834,86.32980987036585
direct_random_forest,Direct Random Forest,under_100,2,552.0,342.62462743333197,432.69689851779634,83.9558795387617,78.38711929670224
hurdle_random_forest,Hurdle Random Forest Regression,under_100,2,428.0,205.43553634227908,359.08389889466673,87.15807444434621,83.89810721838008
direct_random_forest_log1p,Direct Random Forest log1p,under_70,2,187.0,76.89611549133538,148.32791474102552,59.21855401727154,79.3197405032222
direct_extra_trees_log1p,Direct Extra Trees log1p,under_70,2,185.0,206.676979173613,126.31594563660286,67.36191353092784,68.27888953329885
direct_hist_poisson,Direct Hist Gradient Poisson,under_100,1,109.0,125.83357862108643,96.23487264756619,96.64712311466232,88.28887398859284
