candidate_source,candidate_model,champion_quality,sku_count,actual_total,forecast_total,absolute_error,median_rolling_wmape,portfolio_horizon_wmape_percent
08_fair_champion,Hurdle Random Forest threshold 0.35,under_100,132,5980.0,420.1506880932163,6347.3806206869895,100.0,106.14348864025065
08_fair_champion,SBA Croston,under_200,109,14970.0,8825.044312077787,16560.031335799536,105.37630856134248,110.62145180894814
08_fair_champion,SBA Croston,under_100,83,20273.0,7758.1837695621825,18646.448040766238,95.23220709969296,91.97675746444156
09_croston_ml_hybrid,Croston XGBoost depth2 gated probability size,under_200,66,6604.0,1376.2705539986491,7141.584135733545,103.22126234822176,108.14028067434198
09_croston_ml_hybrid,Croston XGBoost depth3 gated probability size,under_200,58,5608.0,1348.6191283166409,6077.474506646395,103.78706779483315,108.37151402721817
09_croston_ml_hybrid,Croston XGBoost depth2 gated probability size,under_100,27,2544.0,575.6825726926327,2640.4094882309437,97.15531491246813,103.78968114115345
09_croston_ml_hybrid,Croston XGBoost depth2 expected value,under_100,21,3696.0,2903.557383030653,2918.4669112563133,87.16517461062986,78.96284933052796
08_fair_champion,Aggregate Allocation,under_100,20,1444.0,169.82431494067944,1423.5124454895274,100.0,98.58119428597834
09_croston_ml_hybrid,Croston HistGB gated probability size,under_100,17,1952.0,260.66671146041784,1937.9261369026806,98.83620433244684,99.27900291509633
09_croston_ml_hybrid,Croston Random Forest gated probability size,under_200,15,2941.0,1231.7455606249955,3285.447625253356,101.85555937844812,111.71192197393253
08_fair_champion,TSB,under_100,12,1742.0,490.2912949099304,1572.0528400662017,94.60948027298788,90.24413548026416
08_fair_champion,Direct Hist Gradient Squared,under_100,11,902.0,523.5852028663826,794.0193605335942,83.89607953552151,88.02875393942286
08_fair_champion,Direct Extra Trees log1p,under_100,10,3516.0,1770.1474271242946,3201.3088217574214,87.33150585541749,91.04973895783337
08_fair_champion,Hurdle Random Forest threshold 0.35,under_200,10,837.0,130.40195478622664,944.290359506816,101.68934957095956,112.81844199603536
08_fair_champion,Hurdle Random Forest,under_100,10,419.0,60.16176067681782,439.2563077239377,99.95583127499236,104.83444098423334
08_fair_champion,Direct XGBoost Tweedie,under_100,9,1563.0,899.4406949786141,1349.4229456815171,82.50058229620969,86.33544118243871
09_croston_ml_hybrid,Croston HistGB gated probability size,under_200,8,1059.0,197.1834141480101,1087.7413453613653,102.27514302223261,102.7140080605633
09_croston_ml_hybrid,Croston XGBoost depth3 gated probability size,under_100,7,910.0,238.52626532316208,892.792517721653,98.19693760336386,98.10906788150032
08_fair_champion,XGBoost Tweedie depth2 reg10,under_100,7,532.0,449.93979406594366,653.9982505317713,96.5738952690188,122.93200197965626
08_fair_champion,Hurdle XGBoost threshold 0.30,under_100,7,321.0,207.63164091445893,479.2836827006515,99.31586188478688,149.30955847372323
08_fair_champion,Aggregate Allocation,under_200,6,463.0,96.30857556739628,498.7733285826366,102.87564615272721,107.7264208601807
08_fair_champion,Hurdle XGBoost Tweedie,under_100,5,733.0,447.79660618147693,594.5014970578109,89.21789254826243,81.10525198605878
09_croston_ml_hybrid,Croston Random Forest gated probability size,under_100,5,712.0,151.3598025786493,701.5323276506285,98.4803506323396,98.52982129924558
08_fair_champion,Direct Random Forest log1p,under_100,4,537.0,437.31020028929015,452.12002752240556,88.08432810634497,84.19367365407925
09_croston_ml_hybrid,Croston XGBoost depth2 gated size,under_200,3,873.0,385.26742482185364,1063.0828077793121,102.73630472970386,121.77351750049394
08_fair_champion,Boosted SBA Hybrid,under_100,3,840.0,261.0766841809394,698.6615721965695,93.2088076955146,83.1739966900678
08_fair_champion,SBA Croston Tuned,under_100,3,580.0,465.2863088278159,448.56844795364634,88.34958026367312,77.33938757821488
08_fair_champion,Recent Mean 6m,under_100,3,484.0,114.0,453.66666666666663,98.7584068936528,93.732782369146
08_fair_champion,Recent Mean 6m,under_200,3,95.0,174.0,206.0,118.24212271973468,216.8421052631579
08_fair_champion,Direct Extra Trees log1p,under_200,2,751.0,429.681387211215,992.4899910255315,132.79179091612517,132.15579108196158
08_fair_champion,Direct Random Forest log1p,under_70,2,187.0,76.89611549133538,148.32791474102552,59.21855401727154,79.3197405032222
08_fair_champion,SBA Croston Tuned,under_200,2,116.0,137.26549730913234,202.49273301033972,126.88279956862526,174.56270087098252
08_fair_champion,Seasonal SBA Croston,under_200,2,97.0,175.1593078229243,184.985905361204,126.66293119054842,190.70711892907627
08_fair_champion,Hurdle XGBoost threshold 0.30,under_200,2,78.0,49.28302416041077,112.56393463902182,100.35572880404968,144.31273671669464
08_fair_champion,Direct Random Forest,under_100,1,471.0,282.2387997597538,320.13598961776165,70.53696265435858,67.96942454729547
08_fair_champion,Hurdle Random Forest Regression,under_100,1,333.0,169.47417177305823,266.7494916137396,87.29632052191957,80.10495243655845
09_croston_ml_hybrid,Croston XGBoost depth2 expected value,under_70,1,179.0,170.7879518866539,111.08797270059586,61.830925833009765,62.06031994446696
09_croston_ml_hybrid,Croston XGBoost depth2 gated size,under_100,1,148.0,53.72354793548584,145.83753633499146,98.97810152718719,98.53887590202126
08_fair_champion,Seasonal SBA Croston,under_100,1,132.0,177.05015275870468,97.57001050193853,83.06157266730968,73.9166746226807
08_fair_champion,Direct Extra Trees log1p,under_70,1,6.0,2.608691881770325,5.099838524267135,65.89229864619921,84.99730873778559
