segment_type,segment,all_skus,positive_demand_skus,under_50_skus,under_70_skus,under_100_skus,median_block_wmape,actual_total,forecast_total
strategy_tier,cautious_point_forecast,181,168,6,24,80,100.0,2009.0,1376.792690678004
strategy_tier,inventory_policy_priority,222,189,6,15,48,160.65027327598494,1897.0,2883.1083456655842
strategy_tier,point_forecast_priority,287,285,43,132,233,71.83507936341422,5205.0,2940.636461019516
lifecycle_tier,cold_start,40,40,2,7,13,118.01400556604543,775.0,1052.2882094230063
lifecycle_tier,developing,26,24,1,5,16,82.89323559829167,635.0,238.6891456619085
lifecycle_tier,dormant,53,45,1,2,4,283.3333333333333,188.0,547.5124830784528
lifecycle_tier,established,532,494,49,154,297,84.35940588514009,6339.0,4793.42144296573
lifecycle_tier,new,39,39,2,3,31,85.0,1174.0,568.6262162340065
frequency_tier,occasional_2_3,151,135,1,7,36,148.0072798520956,1471.0,1590.7147656351653
frequency_tier,rare_0_1,164,134,5,11,34,152.77777777777777,1544.0,2209.954876089673
frequency_tier,recurring_4_6,375,373,49,153,291,74.37868946128421,6096.0,3399.8678556382656
abc_units_tier,A,263,246,36,113,196,71.91457727125713,4995.0,3385.2337734797948
abc_units_tier,B,166,153,15,46,102,83.20404887199402,1782.0,1124.2732906546546
abc_units_tier,C,261,243,4,12,63,136.83236558159268,2334.0,2691.0304332286546
