segment,error_type,blocks,actual_units,forecast_units,absolute_error,signed_error,segment_error_share
cold_start,false_event,80,0.0,151.54266085825782,151.54266085825782,151.54266085825782,0.2162199951948019
cold_start,matched_event_over,52,65.0,110.68652143531533,45.68652143531533,45.68652143531533,0.06518520520403549
cold_start,matched_event_under,101,706.0,205.79798207061376,500.2020179293863,-500.2020179293863,0.7136846964451901
cold_start,missed_event,4,4.0,1.6601805337626567,2.3398194662373433,-2.3398194662373433,0.003338437842395679
cold_start,quiet_block,3,0.0,1.1015370867226468,1.1015370867226468,1.1015370867226468,0.0015716653135768683
developing,false_event,51,0.0,133.72613696347733,133.72613696347733,133.72613696347733,0.24865973645803685
developing,matched_event_over,32,65.0,103.92019209993258,38.92019209993258,38.92019209993258,0.072370928602451
developing,matched_event_under,73,570.0,204.8586724516021,365.1413275483979,-365.1413275483979,0.6789693349395123
new,false_event,30,0.0,101.98920867808113,101.98920867808113,101.98920867808113,0.1091112239324565
new,matched_event_over,52,93.0,181.11777899327726,88.11777899327727,88.11777899327727,0.0942711375133211
new,matched_event_under,152,1081.0,336.3799724083287,744.6200275916714,-744.6200275916714,0.7966176385542224
occasional,false_event,160,0.0,365.0946058874895,365.0946058874895,365.0946058874895,0.36970010828821337
occasional,matched_event_over,48,62.0,117.20921347172695,55.20921347172696,55.20921347172696,0.05590565258938533
occasional,matched_event_under,34,184.0,47.761220094229095,136.2387799057709,-136.2387799057709,0.13795737015007892
occasional,missed_event,163,431.0,0.0,431.0,-431.0,0.4364368689723224
occasional,quiet_block,291,0.0,0.0,0.0,0.0,0.0
rare,false_event,29,0.0,84.32223488532122,84.32223488532122,84.32223488532122,0.35503198898145166
rare,matched_event_over,6,17.0,31.7631457451266,14.7631457451266,14.7631457451266,0.06215903794110385
rare,matched_event_under,8,21.0,6.575586106744899,14.424413893255101,-14.424413893255101,0.06073283471884742
rare,missed_event,38,124.0,0.4891471843836351,123.51085281561637,-123.51085281561637,0.5200325133170427
rare,quiet_block,255,0.0,0.4853732511987083,0.4853732511987083,0.4853732511987083,0.002043625041554361
recurring,false_event,514,0.0,831.2789253051169,831.2789253051169,831.2789253051169,0.19143049597121226
recurring,matched_event_over,438,543.0,834.4536783188203,291.4536783188202,291.4536783188202,0.06711720999389863
recurring,matched_event_under,1036,4811.0,1743.345071474014,3067.654928525986,-3067.654928525986,0.7064328067991362
recurring,missed_event,75,146.0,23.457972564359256,122.54202743564075,-122.54202743564075,0.02821950656419247
recurring,quiet_block,97,0.0,29.52863176826488,29.52863176826488,29.52863176826488,0.006799980671560332
